"","line","f","m","dif","avg"
"1","line_88",50.9387755102041,69.92,-18.9812244897959,60.4293877551021
"2","line_508",52.96,59.04,-6.08,56
"3","line_85",43.04,47.68,-4.64,45.36
"4","line_517",44.32,47.68,-3.36,46
"5","line_703",45.6,48,-2.4,46.8
"6","line_315",51.84,54.0408163265306,-2.2008163265306,52.9404081632653
"7","line_324",34.4489795918367,36.6315789473684,-2.18259935553171,35.5402792696026
"8","line_189",57.6,59.2,-1.6,58.4
"9","line_83",55.52,56.96,-1.44,56.24
"10","line_31",72.1194029850746,72,0.119402985074601,72.0597014925373
"11","line_857",57.469387755102,56.8163265306122,0.653061224489797,57.1428571428571
"12","line_325",43.68,40.8510638297872,2.8289361702128,42.2655319148936
"13","line_761",54.88,51.84,3.04,53.36
"14","line_765",38.08,34.6122448979592,3.4677551020408,36.3461224489796
"15","line_808",42.7755102040816,39.0204081632653,3.7551020408163,40.8979591836734
"16","line_208",53.6,49.3333333333333,4.2666666666667,51.4666666666667
"17","line_712",39.84,35.2,4.64,37.52
"18","line_26",39.1111111111111,34.1052631578947,5.0058479532164,36.6081871345029
"19","line_853",56.3265306122449,51.2340425531915,5.0924880590534,53.7802865827182
"20","line_897",63.6734693877551,58.24,5.4334693877551,60.9567346938776
"21","line_365",50.5,45.0612244897959,5.4387755102041,47.780612244898
"22","line_307",75.7446808510638,70.2978723404255,5.44680851063831,73.0212765957447
"23","line_850",45.8666666666667,40,5.8666666666667,42.9333333333334
"24","line_559",54.530612244898,48.6530612244898,5.87755102040821,51.5918367346939
"25","line_229",39.3469387755102,33.3333333333333,6.0136054421769,36.3401360544217
"26","line_787",59.5744680851064,53.44,6.13446808510641,56.5072340425532
"27","line_303",54.72,48.32,6.4,51.52
"28","line_233",73.1428571428571,66.56,6.58285714285709,69.8514285714286
"29","line_28",50.08,43.36,6.72,46.72
"30","line_855",51.4285714285714,44.6666666666667,6.7619047619047,48.0476190476191
"31","line_38",44.7142857142857,37.8775510204082,6.8367346938775,41.2959183673469
"32","line_381",42.3829787234043,35.52,6.8629787234043,38.9514893617022
"33","line_705",74.6666666666667,67.6666666666667,7,71.1666666666667
"34","line_796",62.72,55.3191489361702,7.4008510638298,59.0195744680851
"35","line_627",48.48,40.96,7.52,44.72
"36","line_390",44.734693877551,37.0909090909091,7.6437847866419,40.9128014842301
"37","line_505",41.6326530612245,33.7959183673469,7.8367346938776,37.7142857142857
"38","line_805",55.0204081632653,47.1666666666667,7.8537414965986,51.093537414966
"39","line_367",60.8,52.734693877551,8.06530612244899,56.7673469387755
"40","line_443",58.08,49.92,8.16,54
"41","line_513",44.64,36.48,8.16,40.56
"42","line_321",52,43.7446808510638,8.2553191489362,47.8723404255319
"43","line_181",56.96,48.64,8.32,52.8
"44","line_810",61.3877551020408,53.0612244897959,8.3265306122449,57.2244897959183
"45","line_821",65.6,57.2,8.39999999999999,61.4
"46","line_911",44.0816326530612,35.68,8.4016326530612,39.8808163265306
"47","line_109",53.44,44.96,8.48,49.2
"48","line_900",50.4,41.8333333333333,8.5666666666667,46.1166666666666
"49","line_409",51.04,42.24,8.8,46.64
