"","line","fStarve","mStarve"
"1","line_100",77.92,49.28
"2","line_101",57.76,47.2
"3","line_105",73.12,51.04
"4","line_109",53.44,44.96
"5","line_129",42.7755102040816,33.0847457627119
"6","line_136",104.32,63.04
"7","line_138",59.52,47.8367346938776
"8","line_142",59.265306122449,38.4
"9","line_149",47,35.84
"10","line_153",59.04,40.32
"11","line_158",77.0612244897959,51
"12","line_161",53.76,42.4489795918367
"13","line_176",54.2040816326531,40.6153846153846
"14","line_177",53.7142857142857,33.44
"15","line_181",56.96,48.64
"16","line_189",57.6,59.2
"17","line_195",65.6,49.44
"18","line_208",53.6,49.3333333333333
"19","line_21",74.72,36.7719298245614
"20","line_217",106.56,60.32
"21","line_223",68.1666666666667,45.0434782608696
"22","line_227",52.16,39.36
"23","line_228",65.9591836734694,46.88
"24","line_229",39.3469387755102,33.3333333333333
"25","line_233",73.1428571428571,66.56
"26","line_235",71.3333333333333,49.9555555555556
"27","line_237",53.6,36.64
"28","line_239",59.2280701754386,46.08
"29","line_26",39.1111111111111,34.1052631578947
"30","line_28",50.08,43.36
"31","line_280",69.8333333333333,45.6666666666667
"32","line_287",64.6530612244898,46.72
"33","line_301",66.4,54.2022471910112
"34","line_303",54.72,48.32
"35","line_304",68.96,59.68
"36","line_306",65.3333333333333,51.36
"37","line_307",75.7446808510638,70.2978723404255
"38","line_309",62.2040816326531,48.64
"39","line_31",72.1194029850746,72
"40","line_310",55.1724137931034,41.3333333333333
"41","line_313",72.8163265306122,39.8333333333333
"42","line_315",51.84,54.0408163265306
"43","line_317",48.64,27.6666666666667
"44","line_318",59.7446808510638,40.4897959183673
"45","line_319",64.8333333333333,54.0408163265306
"46","line_32",56.16,32.32
"47","line_320",87.52,54.3673469387755
"48","line_321",52,43.7446808510638
"49","line_324",34.4489795918367,36.6315789473684
"50","line_325",43.68,40.8510638297872
"51","line_332",47.52,28.4081632653061
"52","line_335",69.12,49.92
"53","line_336",75.1020408163265,44.0816326530612
"54","line_338",61.28,41.6326530612245
"55","line_340",57.6326530612245,48.64
"56","line_348",50.08,40.6274509803922
"57","line_350",53,38.6938775510204
"58","line_352",45.6,36.8
"59","line_354",57.9591836734694,49.12
"60","line_355",66.24,52.48
"61","line_356",83.1020408163265,46
"62","line_357",63.68,48.8163265306122
"63","line_358",55.3469387755102,34.56
"64","line_359",51.84,40.64
"65","line_360",53.7142857142857,43.68
"66","line_361",55.84,30.72
"67","line_362",74.8070175438596,65.4358974358974
"68","line_365",50.5,45.0612244897959
"69","line_367",60.8,52.734693877551
"70","line_370",55.04,32.6666666666667
"71","line_371",57.12,43.68
"72","line_373",72.16,57.28
"73","line_374",60.48,39.1489361702128
"74","line_375",66.72,44.6666666666667
"75","line_377",64.1632653061225,52.2448979591837
"76","line_379",88.1818181818182,55.1666666666667
"77","line_38",44.7142857142857,37.8775510204082
"78","line_380",42.24,29.12
"79","line_381",42.3829787234043,35.52
"80","line_382",67.5,46.530612244898
"81","line_383",58.6,39.0857142857143
"82","line_385",71.8367346938775,49.12
"83","line_386",37.7543859649123,25.4545454545455
"84","line_390",44.734693877551,37.0909090909091
"85","line_391",63.2,30.24
"86","line_392",51.52,36.32
"87","line_395",59.84,40
"88","line_397",50,39.8367346938776
"89","line_399",55.52,37.92
"90","line_40",67.3333333333333,41.6
"91","line_405",58.72,45.3877551020408
"92","line_406",59.063829787234,41.6
"93","line_409",51.04,42.24
"94","line_41",77.7142857142857,55.3962264150943
"95","line_42",39.8367346938776,21.28
"96","line_426",54.5964912280702,42.1224489795918
"97","line_427",53.2525252525253,42.4
"98","line_437",64.5137614678899,45.3084112149533
"99","line_439",50.5,37.12
"100","line_440",70.3505154639175,40.3333333333333
"101","line_441",69.12,53.4831460674157
"102","line_443",58.08,49.92
"103","line_45",49.44,36.32
"104","line_461",40.48,26.6122448979592
"105","line_48",78.88,56.32
"106","line_486",68.8,45.92
"107","line_49",66.08,49.3061224489796
"108","line_491",78.4,46.72
"109","line_492",70.2666666666667,61.4492753623188
"110","line_502",42.6122448979592,30.88
"111","line_505",41.6326530612245,33.7959183673469
"112","line_508",52.96,59.04
"113","line_513",44.64,36.48
"114","line_517",44.32,47.68
"115","line_528",61.2244897959184,40.8163265306122
"116","line_530",71.340206185567,51.04
"117","line_531",56,43.4666666666667
"118","line_535",60.8,40.3404255319149
"119","line_551",55.84,36.8
"120","line_555",50.88,41.44
"121","line_559",54.530612244898,48.6530612244898
"122","line_563",57.76,38.4
"123","line_566",59.84,44.32
"124","line_57",48.64,34.56
"125","line_584",62.08,46.88
"126","line_589",64.32,49
"127","line_59",45.0612244897959,35.52
"128","line_595",56.8163265306122,37.3333333333333
"129","line_596",70.88,47.36
"130","line_627",48.48,40.96
"131","line_630",68.0888888888889,45.2
"132","line_634",55.5102040816327,42.6666666666667
"133","line_639",56.8,37.8775510204082
"134","line_642",89,55.7714285714286
"135","line_646",77.7142857142857,64.48
"136","line_69",49.6326530612245,35
"137","line_703",45.6,48
"138","line_705",74.6666666666667,67.6666666666667
"139","line_707",80.4897959183673,57.6666666666667
"140","line_712",39.84,35.2
"141","line_714",74.6122448979592,44
"142","line_716",87.04,43.52
"143","line_721",63.3333333333333,49.3333333333333
"144","line_727",46.7058823529412,36.1411764705882
"145","line_73",73.92,51.1020408163265
"146","line_730",68.734693877551,53.92
"147","line_732",40,30.08
"148","line_737",66.4,45.28
"149","line_738",46.08,34.88
"150","line_748",63.68,40.96
"151","line_75",90.24,67.84
"152","line_757",54.5454545454545,40.3333333333333
"153","line_761",54.88,51.84
"154","line_765",38.08,34.6122448979592
"155","line_774",60.64,50.08
"156","line_776",79.68,57.92
"157","line_783",60,50.1224489795918
"158","line_786",64.16,45.7142857142857
"159","line_787",59.5744680851064,53.44
"160","line_790",71.6734693877551,58.4
"161","line_796",62.72,55.3191489361702
"162","line_799",72.8,60.5
