"","line","mStarve"
"1","line_100",49.28
"2","line_101",47.2
"3","line_105",51.04
"4","line_109",44.96
"5","line_129",33.0847457627119
"6","line_136",63.04
"7","line_138",47.8367346938776
"8","line_142",38.4
"9","line_149",35.84
"10","line_153",40.32
"11","line_158",51
"12","line_161",42.4489795918367
"13","line_176",40.6153846153846
"14","line_177",33.44
"15","line_181",48.64
"16","line_189",59.2
"17","line_195",49.44
"18","line_208",49.3333333333333
"19","line_21",36.7719298245614
"20","line_217",60.32
"21","line_223",45.0434782608696
"22","line_227",39.36
"23","line_228",46.88
"24","line_229",33.3333333333333
"25","line_233",66.56
"26","line_235",49.9555555555556
"27","line_237",36.64
"28","line_239",46.08
"29","line_26",34.1052631578947
"30","line_28",43.36
"31","line_280",45.6666666666667
"32","line_287",46.72
"33","line_301",54.2022471910112
"34","line_303",48.32
"35","line_304",59.68
"36","line_306",51.36
"37","line_307",70.2978723404255
"38","line_309",48.64
"39","line_31",72
"40","line_310",41.3333333333333
"41","line_313",39.8333333333333
"42","line_315",54.0408163265306
"43","line_317",27.6666666666667
"44","line_318",40.4897959183673
"45","line_319",54.0408163265306
"46","line_32",32.32
"47","line_320",54.3673469387755
"48","line_321",43.7446808510638
"49","line_324",36.6315789473684
"50","line_325",40.8510638297872
"51","line_332",28.4081632653061
"52","line_335",49.92
"53","line_336",44.0816326530612
"54","line_338",41.6326530612245
"55","line_340",48.64
"56","line_348",40.6274509803922
"57","line_350",38.6938775510204
"58","line_352",36.8
"59","line_354",49.12
"60","line_355",52.48
"61","line_356",46
"62","line_357",48.8163265306122
"63","line_358",34.56
"64","line_359",40.64
"65","line_360",43.68
"66","line_361",30.72
"67","line_362",65.4358974358974
"68","line_365",45.0612244897959
"69","line_367",52.734693877551
"70","line_370",32.6666666666667
"71","line_371",43.68
"72","line_373",57.28
"73","line_374",39.1489361702128
"74","line_375",44.6666666666667
"75","line_377",52.2448979591837
"76","line_379",55.1666666666667
"77","line_38",37.8775510204082
"78","line_380",29.12
"79","line_381",35.52
"80","line_382",46.530612244898
"81","line_383",39.0857142857143
"82","line_385",49.12
"83","line_386",25.4545454545455
"84","line_390",37.0909090909091
"85","line_391",30.24
"86","line_392",36.32
"87","line_395",40
"88","line_397",39.8367346938776
"89","line_399",37.92
"90","line_40",41.6
"91","line_405",45.3877551020408
"92","line_406",41.6
"93","line_409",42.24
"94","line_41",55.3962264150943
"95","line_42",21.28
"96","line_426",42.1224489795918
"97","line_427",42.4
"98","line_437",45.3084112149533
"99","line_439",37.12
"100","line_440",40.3333333333333
"101","line_441",53.4831460674157
"102","line_443",49.92
"103","line_45",36.32
"104","line_461",26.6122448979592
"105","line_48",56.32
"106","line_486",45.92
"107","line_49",49.3061224489796
"108","line_491",46.72
"109","line_492",61.4492753623188
"110","line_502",30.88
"111","line_505",33.7959183673469
"112","line_508",59.04
"113","line_513",36.48
"114","line_517",47.68
"115","line_528",40.8163265306122
"116","line_530",51.04
"117","line_531",43.4666666666667
"118","line_535",40.3404255319149
"119","line_551",36.8
"120","line_555",41.44
"121","line_559",48.6530612244898
"122","line_563",38.4
"123","line_566",44.32
"124","line_57",34.56
"125","line_584",46.88
"126","line_589",49
"127","line_59",35.52
"128","line_595",37.3333333333333
"129","line_596",47.36
"130","line_627",40.96
"131","line_630",45.2
"132","line_634",42.6666666666667
"133","line_639",37.8775510204082
"134","line_642",55.7714285714286
"135","line_646",64.48
"136","line_69",35
"137","line_703",48
"138","line_705",67.6666666666667
"139","line_707",57.6666666666667
"140","line_712",35.2
"141","line_714",44
"142","line_716",43.52
"143","line_721",49.3333333333333
"144","line_727",36.1411764705882
"145","line_73",51.1020408163265
"146","line_730",53.92
"147","line_732",30.08
"148","line_737",45.28
"149","line_738",34.88
"150","line_748",40.96
"151","line_75",67.84
"152","line_757",40.3333333333333
"153","line_761",51.84
"154","line_765",34.6122448979592
"155","line_774",50.08
"156","line_776",57.92
"157","line_783",50.1224489795918
"158","line_786",45.7142857142857
"159","line_787",53.44
"160","line_790",58.4
"161","line_796",55.3191489361702
"162","line_799",60.5
"163","line_801",46.4
"164","line_802",52.8
"165","line_804",37.0149253731343
"166","line_805",47.1666666666667
"167","line_808",39.0204081632653
"168","line_810",53.0612244897959
"169","line_812",71.52
"170","line_818",43.04
"171","line_819",33.7959183673469
"172","line_820",47.5
"173","line_821",57.2
"174","line_822",54.530612244898
"175","line_83",56.96
"176","line_832",55.8367346938776
"177","line_837",55.3333333333333
"178","line_843",65.12
"179","line_849",59.9183673469388
"180","line_85",47.68
"181","line_850",40
"182","line_852",50.6666666666667
"183","line_853",51.2340425531915
"184","line_855",44.6666666666667
"185","line_857",56.8163265306122
"186","line_859",47.1836734693878
"187","line_861",34.2608695652174
"188","line_879",40.8
"189","line_88",69.92
"190","line_882",54.0408163265306
"191","line_884",41.0181818181818
"192","line_887",47.8333333333333
"193","line_890",38.08
"194","line_892",38.72
"195","line_894",43.36
"196","line_897",58.24
"197","line_900",41.8333333333333
"198","line_907",45.28
"199","line_908",54.530612244898
"200","line_91",49.76
"201","line_911",35.68
"202","line_913",57.76
"203","line_93",34.88
