"","m-line","m-starve"
"1","line_100",49.28
"2","line_101",47.2
"3","line_105",51.04
"4","line_109",44.96
"5","line_129",33.0847457627119
"6","line_136",63.04
"7","line_138",47.8367346938776
"8","line_142",38.4
"9","line_149",35.84
"10","line_153",40.32
"11","line_158",51
"12","line_161",42.4489795918367
"13","line_176",40.6153846153846
"14","line_177",33.44
"15","line_181",48.64
"16","line_189",59.2
"17","line_195",49.44
"18","line_208",49.3333333333333
"19","line_21",36.7719298245614
"20","line_217",60.32
"21","line_223",45.0434782608696
"22","line_227",39.36
"23","line_228",46.88
"24","line_229",33.3333333333333
"25","line_233",66.56
"26","line_235",49.9555555555556
"27","line_237",36.64
"28","line_239",46.08
"30","line_26",34.1052631578947
"32","line_28",43.36
"33","line_280",45.6666666666667
"34","line_287",46.72
"35","line_301",54.2022471910112
"36","line_303",48.32
"37","line_304",59.68
"38","line_306",51.36
"39","line_307",70.2978723404255
"40","line_309",48.64
"41","line_31",72
"42","line_310",41.3333333333333
"43","line_313",39.8333333333333
"44","line_315",54.0408163265306
"45","line_317",27.6666666666667
"46","line_318",40.4897959183673
"47","line_319",54.0408163265306
"48","line_32",32.32
"49","line_320",54.3673469387755
"50","line_321",43.7446808510638
"51","line_324",36.6315789473684
"52","line_325",40.8510638297872
"53","line_332",28.4081632653061
"54","line_335",49.92
"55","line_336",44.0816326530612
"56","line_338",41.6326530612245
"57","line_340",48.64
"58","line_348",40.6274509803922
"59","line_350",38.6938775510204
"60","line_352",36.8
"61","line_354",49.12
"62","line_355",52.48
"63","line_356",46
"64","line_357",48.8163265306122
"65","line_358",34.56
"66","line_359",40.64
"67","line_360",43.68
"68","line_361",30.72
"69","line_362",65.4358974358974
"70","line_365",45.0612244897959
"71","line_367",52.734693877551
"72","line_370",32.6666666666667
"73","line_371",43.68
"74","line_373",57.28
"75","line_374",39.1489361702128
"76","line_375",44.6666666666667
"77","line_377",52.2448979591837
"79","line_379",55.1666666666667
"80","line_38",37.8775510204082
"81","line_380",29.12
"82","line_381",35.52
"83","line_382",46.530612244898
"84","line_383",39.0857142857143
"85","line_385",49.12
"86","line_386",25.4545454545455
"88","line_390",37.0909090909091
"89","line_391",30.24
"90","line_392",36.32
"92","line_395",40
"93","line_397",39.8367346938776
"95","line_399",37.92
"96","line_40",41.6
"97","line_405",45.3877551020408
"98","line_406",41.6
"99","line_409",42.24
"100","line_41",55.3962264150943
"101","line_42",21.28
"102","line_426",42.1224489795918
"103","line_427",42.4
"104","line_437",45.3084112149533
"105","line_439",37.12
"106","line_440",40.3333333333333
"107","line_441",53.4831460674157
"108","line_443",49.92
"109","line_45",36.32
"110","line_461",26.6122448979592
"112","line_48",56.32
"113","line_486",45.92
"114","line_49",49.3061224489796
"115","line_491",46.72
"116","line_492",61.4492753623188
"117","line_502",30.88
"118","line_505",33.7959183673469
"119","line_508",59.04
"121","line_513",36.48
"123","line_517",47.68
"124","line_528",40.8163265306122
"125","line_530",51.04
"126","line_531",43.4666666666667
"127","line_535",40.3404255319149
"128","line_551",36.8
"130","line_555",41.44
"131","line_559",48.6530612244898
"132","line_563",38.4
"133","line_566",44.32
"134","line_57",34.56
"135","line_584",46.88
"136","line_589",49
"137","line_59",35.52
"139","line_595",37.3333333333333
"140","line_596",47.36
"141","line_627",40.96
"142","line_630",45.2
"143","line_634",42.6666666666667
"144","line_639",37.8775510204082
"145","line_642",55.7714285714286
"146","line_646",64.48
"147","line_69",35
"148","line_703",48
"149","line_705",67.6666666666667
"150","line_707",57.6666666666667
"151","line_712",35.2
"152","line_714",44
"153","line_716",43.52
"154","line_721",49.3333333333333
"155","line_727",36.1411764705882
"156","line_73",51.1020408163265
"157","line_730",53.92
"158","line_732",30.08
"159","line_737",45.28
"160","line_738",34.88
"161","line_748",40.96
"162","line_75",67.84
"163","line_757",40.3333333333333
"164","line_761",51.84
"165","line_765",34.6122448979592
"166","line_774",50.08
"167","line_776",57.92
"168","line_783",50.1224489795918
"169","line_786",45.7142857142857
"170","line_787",53.44
"171","line_790",58.4
"172","line_796",55.3191489361702
"173","line_799",60.5
"175","line_801",46.4
"176","line_802",52.8
"177","line_804",37.0149253731343
"178","line_805",47.1666666666667
"179","line_808",39.0204081632653
"180","line_810",53.0612244897959
"181","line_812",71.52
"182","line_818",43.04
"183","line_819",33.7959183673469
"184","line_820",47.5
"185","line_821",57.2
"186","line_822",54.530612244898
"187","line_83",56.96
"188","line_832",55.8367346938776
"189","line_837",55.3333333333333
"190","line_843",65.12
"191","line_849",59.9183673469388
"192","line_85",47.68
"193","line_850",40
"194","line_852",50.6666666666667
"195","line_853",51.2340425531915
"196","line_855",44.6666666666667
"197","line_857",56.8163265306122
"198","line_859",47.1836734693878
"199","line_861",34.2608695652174
"200","line_879",40.8
"201","line_88",69.92
"202","line_882",54.0408163265306
"203","line_884",41.0181818181818
"204","line_887",47.8333333333333
"205","line_890",38.08
"206","line_892",38.72
"207","line_894",43.36
"208","line_897",58.24
"209","line_900",41.8333333333333
"210","line_907",45.28
"211","line_908",54.530612244898
"212","line_91",49.76
"213","line_911",35.68
"214","line_913",57.76
"215","line_93",34.88
