"","Gene","Count"
"1","FBgn0025595",9
"2","FBgn0026207",6
"3","FBgn0283499",6
"4","FBgn0033737",5
"5","FBgn0004552",5
"6","FBgn0021761",4
"7","FBgn0027537",4
"8","FBgn0031078",4
"9","FBgn0038274",4
"10","FBgn0039120",4
"11","FBgn0061200",4
"12","FBgn0010379",4
"13","FBgn0015279",4
"14","FBgn0003731",4
"15","FBgn0052703",4
"16","FBgn0010660",3
"17","FBgn0013756",3
"18","FBgn0027868",3
"19","FBgn0030943",3
"20","FBgn0033766",3
"21","FBgn0034118",3
"22","FBgn0037924",3
"23","FBgn0038722",3
"24","FBgn0039125",3
"25","FBgn0262647",3
"26","FBgn0026252",3
"27","FBgn0266580",3
"28","FBgn0024248",3
"29","FBgn0033799",3
"30","FBgn0036449",3
"31","FBgn0261984",3
"32","FBgn0262103",3
"33","FBgn0003169",3
"34","FBgn0011300",3
"35","FBgn0260945",3
"36","FBgn0010303",3
"37","FBgn0028717",3
"38","FBgn0036046",3
"39","FBgn0000575",3
"40","FBgn0003205",3
"41","FBgn0003256",3
"42","FBgn0023169",3
"43","FBgn0034140",3
"44","FBgn0038197",3
"45","FBgn0038167",3
"46","FBgn0020386",3
"47","FBgn0003093",3
"48","FBgn0263395",3
"49","FBgn0034310",2
"50","FBgn0039004",2
"51","FBgn0261799",2
"52","FBgn0263850",2
"53","FBgn0020255",2
"54","FBgn0031145",2
"55","FBgn0032680",2
"56","FBgn0033264",2
"57","FBgn0036497",2
"58","FBgn0039302",2
"59","FBgn0000206",2
"60","FBgn0003651",2
"61","FBgn0010051",2
"62","FBgn0030607",2
"63","FBgn0035039",2
"64","FBgn0035586",2
"65","FBgn0036111",2
"66","FBgn0041191",2
"67","FBgn0263593",2
"68","FBgn0283472",2
"69","FBgn0024913",2
"70","FBgn0025800",2
"71","FBgn0266064",2
"72","FBgn0004914",2
"73","FBgn0263112",2
"74","FBgn0053126",2
"75","FBgn0003984",2
"76","FBgn0035142",2
"77","FBgn0036741",2
"78","FBgn0041184",2
"79","FBgn0036260",2
"80","FBgn0036789",2
"81","FBgn0036790",2
"82","FBgn0038880",2
"83","FBgn0085410",2
"84","FBgn0000229",2
"85","FBgn0003079",2
"86","FBgn0030800",2
"87","FBgn0034366",2
"88","FBgn0035871",2
"89","FBgn0036397",2
"90","FBgn0038074",2
"91","FBgn0038816",2
"92","FBgn0040491",2
"93","FBgn0264607",2
"94","FBgn0266717",2
"95","FBgn0020497",2
"96","FBgn0030122",2
"97","FBgn0032188",2
"98","FBgn0015024",2
"99","FBgn0015721",2
"100","FBgn0028978",2
"101","FBgn0032940",2
"102","FBgn0038984",2
"103","FBgn0086687",2
"104","FBgn0002413",2
"105","FBgn0021796",2
"106","FBgn0028484",2
"107","FBgn0032006",2
"108","FBgn0042693",2
