"","Gene","Count"
"1","FBgn0261873",13
"2","FBgn0261854",9
"3","FBgn0026192",8
"4","FBgn0067864",8
"5","FBgn0263289",5
"6","FBgn0000163",5
"7","FBgn0259685",5
"8","FBgn0011661",5
"9","FBgn0265778",5
"10","FBgn0025595",4
"11","FBgn0036046",4
"12","FBgn0283499",4
"13","FBgn0001624",4
"14","FBgn0003391",4
"15","FBgn0004552",3
"16","FBgn0015279",3
"17","FBgn0086687",3
"18","FBgn0003205",3
"19","FBgn0000117",3
"20","FBgn0004167",3
"21","FBgn0002121",3
"22","FBgn0041191",3
"23","FBgn0003514",3
"24","FBgn0003169",2
"25","FBgn0011300",2
"26","FBgn0015721",2
"27","FBgn0024248",2
"28","FBgn0024913",2
"29","FBgn0025800",2
"30","FBgn0028978",2
"31","FBgn0032940",2
"32","FBgn0034140",2
"33","FBgn0038984",2
"34","FBgn0039873",2
"35","FBgn0003079",2
"36","FBgn0024836",2
"37","FBgn0011674",2
"38","FBgn0021796",2
"39","FBgn0039709",2
"40","FBgn0030926",2
"41","FBgn0037515",2
"42","FBgn0051217",2
"43","FBgn0027108",2
"44","FBgn0034264",2
"45","FBgn0034590",2
"46","FBgn0267488",2
"47","FBgn0000008",2
"48","FBgn0000547",2
"49","FBgn0003285",2
"50","FBgn0004647",2
"51","FBgn0030530",2
"52","FBgn0032221",2
"53","FBgn0034577",2
"54","FBgn0085408",2
"55","FBgn0086384",2
"56","FBgn0287864",2
"57","FBgn0010303",2
"58","FBgn0028717",2
"59","FBgn0053126",2
"60","FBgn0003731",2
"61","FBgn0034072",2
"62","FBgn0003520",2
"63","FBgn0004197",2
"64","FBgn0014020",2
"65","FBgn0021776",2
"66","FBgn0023172",2
"67","FBgn0001965",2
"68","FBgn0004638",2
"69","FBgn0015402",2
"70","FBgn0263395",2
"71","FBgn0266756",2
"72","FBgn0033033",2
"73","FBgn0261260",2
"74","FBgn0263864",2
"75","FBgn0261797",2
"76","gene",1
"77","FBgn0000064",1
"78","FBgn0000206",1
"79","FBgn0000579",1
"80","FBgn0001092",1
"81","FBgn0001187",1
"82","FBgn0003071",1
"83","FBgn0003074",1
"84","FBgn0003651",1
"85","FBgn0004654",1
"86","FBgn0004914",1
"87","FBgn0005558",1
"88","FBgn0015024",1
"89","FBgn0020236",1
"90","FBgn0023143",1
"91","FBgn0023479",1
"92","FBgn0028561",1
"93","FBgn0029155",1
"94","FBgn0036111",1
"95","FBgn0038167",1
"96","FBgn0038197",1
"97","FBgn0039158",1
"98","FBgn0064126",1
"99","FBgn0086355",1
"100","FBgn0264574",1
"101","FBgn0267385",1
"102","FBgn0000382",1
"103","FBgn0003118",1
"104","FBgn0010269",1
"105","FBgn0016794",1
"106","FBgn0023214",1
"107","FBgn0023489",1
"108","FBgn0261437",1
"109","FBgn0263933",1
