"","Gene","Count"
"1","FBgn0003731",8
"2","FBgn0010379",6
"3","FBgn0025595",6
"4","FBgn0283499",6
"5","FBgn0262103",5
"6","FBgn0000575",5
"7","FBgn0003169",5
"8","FBgn0011300",5
"9","FBgn0020386",5
"10","FBgn0028484",5
"11","FBgn0003093",5
"12","FBgn0034568",5
"13","FBgn0051183",5
"14","FBgn0052703",5
"15","FBgn0261456",5
"16","FBgn0010303",5
"17","FBgn0035039",4
"18","FBgn0261984",4
"19","FBgn0283472",4
"20","FBgn0003205",4
"21","FBgn0035142",4
"22","FBgn0260945",4
"23","FBgn0002413",4
"24","FBgn0003091",4
"25","FBgn0003256",4
"26","FBgn0003502",4
"27","FBgn0003744",4
"28","FBgn0004784",4
"29","FBgn0004864",4
"30","FBgn0010197",4
"31","FBgn0010441",4
"32","FBgn0011817",4
"33","FBgn0013987",4
"34","FBgn0015765",4
"35","FBgn0017581",4
"36","FBgn0020621",4
"37","FBgn0023169",4
"38","FBgn0024846",4
"39","FBgn0025625",4
"40","FBgn0025743",4
"41","FBgn0026063",4
"42","FBgn0026064",4
"43","FBgn0031299",4
"44","FBgn0031784",4
"45","FBgn0033915",4
"46","FBgn0034950",4
"47","FBgn0036368",4
"48","FBgn0036544",4
"49","FBgn0037098",4
"50","FBgn0038167",4
"51","FBgn0038630",4
"52","FBgn0039083",4
"53","FBgn0040056",4
"54","FBgn0044826",4
"55","FBgn0046706",4
"56","FBgn0052666",4
"57","FBgn0052944",4
"58","FBgn0085386",4
"59","FBgn0259712",4
"60","FBgn0260399",4
"61","FBgn0260934",4
"62","FBgn0261278",4
"63","FBgn0261360",4
"64","FBgn0261387",4
"65","FBgn0261854",4
"66","FBgn0262866",4
"67","FBgn0263395",4
"68","FBgn0266136",4
"69","FBgn0267339",4
"70","FBgn0267390",4
"71","FBgn0267698",4
"72","FBgn0283657",4
"73","FBgn0002466",4
"74","FBgn0003317",4
"75","FBgn0003366",4
"76","FBgn0003716",4
"77","FBgn0003733",4
"78","FBgn0004839",4
"79","FBgn0010389",4
"80","FBgn0010407",4
"81","FBgn0013759",4
"82","FBgn0013762",4
"83","FBgn0022800",4
"84","FBgn0024179",4
"85","FBgn0024227",4
"86","FBgn0025936",4
"87","FBgn0026181",4
"88","FBgn0031030",4
"89","FBgn0040298",4
"90","FBgn0040505",4
"91","FBgn0010660",3
"92","FBgn0013756",3
"93","FBgn0021761",3
"94","FBgn0026207",3
"95","FBgn0027537",3
"96","FBgn0027868",3
"97","FBgn0031078",3
"98","FBgn0033737",3
"99","FBgn0034118",3
"100","FBgn0037924",3
"101","FBgn0038274",3
"102","FBgn0039120",3
"103","FBgn0061200",3
"104","FBgn0262647",3
"105","FBgn0004552",3
"106","FBgn0030607",3
