"","Gene","Count"
"1","FBgn0261873",8
"2","FBgn0261854",7
"3","FBgn0265778",6
"4","FBgn0026192",6
"5","FBgn0067864",5
"6","FBgn0259685",5
"7","FBgn0036046",4
"8","FBgn0086687",4
"9","FBgn0283499",4
"10","FBgn0003205",4
"11","FBgn0024248",3
"12","FBgn0011661",3
"13","FBgn0003391",3
"14","FBgn0024836",3
"15","FBgn0263289",3
"16","FBgn0001965",3
"17","FBgn0004638",3
"18","FBgn0015402",3
"19","FBgn0266756",3
"20","FBgn0000163",3
"21","FBgn0004167",3
"22","FBgn0003079",3
"23","FBgn0002121",3
"24","FBgn0030926",2
"25","FBgn0037515",2
"26","FBgn0051217",2
"27","FBgn0000206",2
"28","FBgn0005558",2
"29","FBgn0015279",2
"30","FBgn0015721",2
"31","FBgn0025595",2
"32","FBgn0028978",2
"33","FBgn0032940",2
"34","FBgn0034140",2
"35","FBgn0038984",2
"36","FBgn0039873",2
"37","FBgn0033205",2
"38","FBgn0001624",2
"39","FBgn0003256",2
"40","FBgn0010379",2
"41","FBgn0020386",2
"42","FBgn0021796",2
"43","FBgn0024846",2
"44","FBgn0032840",2
"45","FBgn0037874",2
"46","FBgn0041191",2
"47","FBgn0261524",2
"48","FBgn0262656",2
"49","FBgn0263395",2
"50","FBgn0000117",2
"51","FBgn0003285",2
"52","FBgn0004456",2
"53","FBgn0024189",2
"54","FBgn0027108",2
"55","FBgn0028369",2
"56","FBgn0034577",2
"57","FBgn0039709",2
"58","FBgn0041096",2
"59","FBgn0267488",2
"60","FBgn0287864",2
"61","FBgn0000382",2
"62","FBgn0003118",2
"63","FBgn0010269",2
"64","FBgn0016794",2
"65","FBgn0027598",2
"66","FBgn0027509",2
"67","FBgn0015269",2
"68","FBgn0004636",2
"69","gene",1
"70","FBgn0014135",1
"71","FBgn0030925",1
"72","FBgn0040321",1
"73","FBgn0285896",1
"74","FBgn0000157",1
"75","FBgn0000492",1
"76","FBgn0000504",1
"77","FBgn0003502",1
"78","FBgn0261953",1
"79","FBgn0000064",1
"80","FBgn0000579",1
"81","FBgn0001092",1
"82","FBgn0001187",1
"83","FBgn0003071",1
"84","FBgn0003074",1
"85","FBgn0003169",1
"86","FBgn0003651",1
"87","FBgn0004552",1
"88","FBgn0004654",1
"89","FBgn0004914",1
"90","FBgn0011300",1
"91","FBgn0015024",1
"92","FBgn0020236",1
"93","FBgn0023143",1
"94","FBgn0023479",1
"95","FBgn0024913",1
"96","FBgn0025800",1
"97","FBgn0028561",1
"98","FBgn0029155",1
"99","FBgn0036111",1
"100","FBgn0038167",1
"101","FBgn0038197",1
"102","FBgn0039158",1
"103","FBgn0064126",1
"104","FBgn0086355",1
"105","FBgn0264574",1
"106","FBgn0267385",1
"107","FBgn0011642",1
"108","FBgn0032230",1
"109","FBgn0039269",1
"110","FBgn0261053",1
"111","FBgn0266670",1
"112","FBgn0030608",1
"113","FBgn0035586",1
"114","FBgn0040336",1
"115","FBgn0052803",1
"116","FBgn0261283",1
"117","FBgn0262433",1
"118","FBgn0001085",1
"119","FBgn0003090",1
"120","FBgn0003392",1
"121","FBgn0015838",1
"122","FBgn0024510",1
"123","FBgn0037364",1
"124","FBgn0013987",1
"125","FBgn0015765",1
"126","FBgn0019990",1
"127","FBgn0024329",1
"128","FBgn0026401",1
"129","FBgn0029840",1
"130","FBgn0031006",1
"131","FBgn0031399",1
"132","FBgn0031888",1
"133","FBgn0032006",1
"134","FBgn0033247",1
"135","FBgn0037491",1
"136","FBgn0040298",1
"137","FBgn0085407",1
"138","FBgn0263980",1
"139","FBgn0264691",1
"140","FBgn0267390",1
"141","FBgn0283472",1
"142","FBgn0283724",1
"143","FBgn0010355",1
"144","FBgn0014340",1
"145","FBgn0020388",1
"146","FBgn0026080",1
"147","FBgn0028387",1
"148","FBgn0032691",1
"149","FBgn0034975",1
"150","FBgn0036039",1
"151","FBgn0037376",1
"152","FBgn0039585",1
"153","FBgn0261617",1
"154","FBgn0000094",1
"155","FBgn0000276",1
"156","FBgn0000277",1
"157","FBgn0000278",1
"158","FBgn0000279",1
"159","FBgn0003495",1
"160","FBgn0010385",1
"161","FBgn0010388",1
"162","FBgn0011274",1
"163","FBgn0012042",1
"164","FBgn0014865",1
"165","FBgn0030051",1
"166","FBgn0030310",1
"167","FBgn0030695",1
"168","FBgn0030774",1
"169","FBgn0031701",1
"170","FBgn0032638",1
"171","FBgn0033367",1
"172","FBgn0033402",1
"173","FBgn0033593",1
"174","FBgn0034328",1
"175","FBgn0034330",1
"176","FBgn0034407",1
"177","FBgn0035806",1
"178","FBgn0037574",1
"179","FBgn0037906",1
"180","FBgn0038134",1
"181","FBgn0038530",1
"182","FBgn0038973",1
"183","FBgn0039102",1
"184","FBgn0039494",1
"185","FBgn0040323",1
"186","FBgn0040660",1
"187","FBgn0040736",1
"188","FBgn0041181",1
"189","FBgn0041579",1
"190","FBgn0041581",1
"191","FBgn0043576",1
"192","FBgn0050098",1
"193","FBgn0052185",1
"194","FBgn0052382",1
"195","FBgn0052383",1
"196","FBgn0243514",1
"197","FBgn0261988",1
"198","FBgn0262473",1
"199","FBgn0266136",1
"200","FBgn0283437",1
"201","FBgn0000008",1
"202","FBgn0000635",1
"203","FBgn0001991",1
"204","FBgn0002306",1
"205","FBgn0002577",1
"206","FBgn0003514",1
"207","FBgn0003520",1
"208","FBgn0003731",1
"209","FBgn0004197",1
"210","FBgn0004359",1
"211","FBgn0004368",1
"212","FBgn0004647",1
"213","FBgn0010620",1
"214","FBgn0011202",1
"215","FBgn0011672",1
"216","FBgn0014020",1
"217","FBgn0015399",1
"218","FBgn0015872",1
"219","FBgn0016984",1
"220","FBgn0021776",1
"221","FBgn0023172",1
"222","FBgn0024179",1
"223","FBgn0025686",1
"224","FBgn0026189",1
"225","FBgn0028400",1
"226","FBgn0028516",1
"227","FBgn0030529",1
"228","FBgn0031683",1
"229","FBgn0031879",1
"230","FBgn0032221",1
"231","FBgn0033033",1
"232","FBgn0033096",1
"233","FBgn0033097",1
"234","FBgn0033635",1
"235","FBgn0033657",1
"236","FBgn0034883",1
"237","FBgn0034885",1
"238","FBgn0035432",1
"239","FBgn0036715",1
"240","FBgn0036756",1
"241","FBgn0036985",1
"242","FBgn0037533",1
"243","FBgn0038132",1
"244","FBgn0038237",1
"245","FBgn0038412",1
"246","FBgn0039038",1
"247","FBgn0039232",1
"248","FBgn0039594",1
"249","FBgn0039840",1
"250","FBgn0040297",1
"251","FBgn0043903",1
"252","FBgn0051116",1
"253","FBgn0052150",1
"254","FBgn0053129",1
"255","FBgn0053970",1
"256","FBgn0066365",1
"257","FBgn0085408",1
"258","FBgn0086384",1
"259","FBgn0250789",1
"260","FBgn0261260",1
"261","FBgn0263111",1
"262","FBgn0263258",1
"263","FBgn0263930",1
"264","FBgn0265011",1
"265","FBgn0266672",1
"266","FBgn0284421",1
"267","FBgn0284435",1
"268","FBgn0286785",1
"269","FBgn0023214",1
"270","FBgn0023489",1
"271","FBgn0261437",1
"272","FBgn0263933",1
"273","FBgn0265630",1
"274","FBgn0001075",1
"275","FBgn0004583",1
"276","FBgn0024361",1
"277","FBgn0034264",1
"278","FBgn0034590",1
"279","FBgn0035583",1
"280","FBgn0035976",1
"281","FBgn0036945",1
"282","FBgn0051004",1
"283","FBgn0262029",1
"284","FBgn0284247",1
"285","FBgn0027535",1
"286","FBgn0027538",1
"287","FBgn0029175",1
"288","FBgn0031099",1
"289","FBgn0031717",1
"290","FBgn0031826",1
"291","FBgn0039625",1
"292","FBgn0051637",1
"293","FBgn0051849",1
"294","FBgn0265974",1
"295","FBgn0000547",1
"296","FBgn0000633",1
"297","FBgn0004839",1
"298","FBgn0010583",1
"299","FBgn0026313",1
"300","FBgn0032666",1
"301","FBgn0035498",1
"302","FBgn0039431",1
"303","FBgn0051774",1
"304","FBgn0259212",1
"305","FBgn0260745",1
"306","FBgn0261574",1
"307","FBgn0262614",1
"308","FBgn0262869",1
"309","FBgn0263038",1
"310","FBgn0264975",1
"311","FBgn0266801",1
"312","FBgn0285925",1
"313","FBgn0004908",1
"314","FBgn0010741",1
"315","FBgn0027948",1
"316","FBgn0037446",1
"317","FBgn0264694",1
"318","FBgn0010303",1
"319","FBgn0011204",1
"320","FBgn0011205",1
"321","FBgn0015240",1
"322","FBgn0025615",1
"323","FBgn0028717",1
"324","FBgn0034999",1
"325","FBgn0035383",1
"326","FBgn0035632",1
"327","FBgn0036053",1
"328","FBgn0036449",1
"329","FBgn0036996",1
"330","FBgn0038074",1
"331","FBgn0038201",1
"332","FBgn0040344",1
"333","FBgn0042693",1
"334","FBgn0053126",1
"335","FBgn0063667",1
"336","FBgn0261285",1
"337","FBgn0263864",1
"338","FBgn0265187",1
"339","FBgn0267828",1
"340","FBgn0286723",1
"341","FBgn0000536",1
"342","FBgn0026576",1
"343","FBgn0031948",1
"344","FBgn0032482",1
"345","FBgn0032955",1
"346","FBgn0033844",1
"347","FBgn0053116",1
"348","FBgn0027596",1
"349","FBgn0029157",1
"350","FBgn0035533",1
"351","FBgn0038206",1
"352","FBgn0038747",1
"353","FBgn0263987",1
"354","FBgn0264272",1
"355","FBgn0029866",1
"356","FBgn0033203",1
"357","FBgn0033204",1
"358","FBgn0034500",1
"359","FBgn0038610",1
"360","FBgn0050491",1
"361","FBgn0050495",1
"362","FBgn0286852",1
"363","FBgn0003867",1
"364","FBgn0030904",1
"365","FBgn0034199",1
"366","FBgn0035590",1
"367","FBgn0036934",1
"368","FBgn0039044",1
"369","FBgn0039055",1
"370","FBgn0039924",1
"371","FBgn0044047",1
"372","FBgn0086365",1
"373","FBgn0086779",1
"374","FBgn0262432",1
"375","FBgn0262451",1
"376","FBgn0264562",1
"377","FBgn0001105",1
"378","FBgn0004921",1
"379","FBgn0011674",1
"380","FBgn0031090",1
"381","FBgn0033483",1
"382","FBgn0034970",1
"383","FBgn0283535",1
"384","FBgn0010215",1
"385","FBgn0003206",1
"386","FBgn0010398",1
"387","FBgn0015286",1
"388","FBgn0023023",1
"389","FBgn0025741",1
"390","FBgn0026376",1
"391","FBgn0029944",1
"392","FBgn0032401",1
"393","FBgn0034158",1
"394","FBgn0034230",1
"395","FBgn0037188",1
"396","FBgn0038686",1
"397","FBgn0085421",1
"398","FBgn0085422",1
"399","FBgn0259228",1
"400","FBgn0265605",1
"401","FBgn0003366",1
"402","FBgn0003410",1
"403","FBgn0004177",1
"404","FBgn0004595",1
"405","FBgn0010109",1
"406","FBgn0013725",1
"407","FBgn0017590",1
"408","FBgn0020224",1
"409","FBgn0264324",1
