"","Term","Accuracy","SE"
"1","GO.0000002",0.317383479295197,0.0494431231648783
"2","GO.0000014",0.314797863102031,0.053048906422477
"3","GO.0000022",0.307672212954579,0.0491642741867098
"4","GO.0000027",0.28519905062451,0.04686206377114
"5","GO.0000028",0.306105342715274,0.0503002594156757
"6","GO.0000030",0.313759929306553,0.0540491842928711
"7","GO.0000045",0.270610469426461,0.0434175323162034
"8","GO.0000049",0.308426127712921,0.0528415119647955
"9","GO.0000055",0.411014319731931,0.0432038509414438
"10","GO.0000062",0.306771444012139,0.0514331768803178
"11","GO.0000070",0.296534308243627,0.0490962332966362
"12","GO.0000076",0.306045738117884,0.0505222121853197
"13","GO.0000077",0.300084791998804,0.0521234269955555
"14","GO.0000082",0.302305600273938,0.0496635493951576
"15","GO.0000086",0.311708667810961,0.0515766813370461
"16","GO.0000118",0.298388917436836,0.0443641413340162
"17","GO.0000122",0.320241980796963,0.0423543803629401
"18","GO.0000123",0.310289693469163,0.0489846367055468
"19","GO.0000124",0.271814395066875,0.0536807813808974
"20","GO.0000132",0.280461787672715,0.0491499871583305
"21","GO.0000137",0.310379289531343,0.0479813819893361
"22","GO.0000138",0.316993758697667,0.0513705621696702
"23","GO.0000139",0.322464077884335,0.0485756450512062
"24","GO.0000145",0.317571769992199,0.0519294323685018
"25","GO.0000146",0.316423849778708,0.0523720074079804
"26","GO.0000149",0.31162912676963,0.0478224908384977
"27","GO.0000151",0.285346691201484,0.0519019418184063
"28","GO.0000159",0.307324549997821,0.0502288022183236
"29","GO.0000164",0.356858174497518,0.042650806386827
"30","GO.0000165",0.315407470191938,0.046736537250294
"31","GO.0000166",0.281331299418809,0.046427280695398
"32","GO.0000172",0.312638980526648,0.0498784757748083
"33","GO.0000175",0.375271065738142,0.0434860011802727
"34","GO.0000176",0.331747460935349,0.047226054904334
"35","GO.0000177",0.329038733131792,0.047868056416555
"36","GO.0000178",0.326542608905435,0.0476314723915
"37","GO.0000184",0.340877366639446,0.0535608803961671
"38","GO.0000209",0.269720089829898,0.0475692371723007
"39","GO.0000212",0.305562612215491,0.0478723394133073
"40","GO.0000220",0.313804173747044,0.0515270718438864
"41","GO.0000226",0.266356954816964,0.0519365857916876
"42","GO.0000228",0.301387659860589,0.0524751916607757
"43","GO.0000242",0.297166149492253,0.0514068309498279
"44","GO.0000244",0.310324478572609,0.0489915145218711
"45","GO.0000245",0.315804359557504,0.0523835644312186
"46","GO.0000253",0.326473598201104,0.0478361155401455
"47","GO.0000266",0.321709866547181,0.049322006843466
"48","GO.0000276",0.312973241801242,0.0486137417320864
"49","GO.0000278",0.268613442297986,0.0475467413735156
"50","GO.0000281",0.360465210563044,0.0429596745936053
"51","GO.0000287",0.284209336421604,0.0455996063175374
"52","GO.0000288",0.311250009419003,0.0498112806707968
"53","GO.0000289",0.294959932520236,0.0463566773557305
"54","GO.0000290",0.323385658327828,0.0494418243493219
"55","GO.0000302",0.275591685195821,0.0476345748966211
"56","GO.0000307",0.313387999263317,0.0519959001660913
"57","GO.0000338",0.301035166327948,0.0478681680734392
"58","GO.0000339",0.31745748439164,0.0499311870569027
"59","GO.0000340",0.322164229168432,0.051187212059609
"60","GO.0000346",0.308524786963797,0.0494122019918029
"61","GO.0000347",0.321645778596572,0.0502575350212681
"62","GO.0000348",0.315808457476543,0.0506517590398837
"63","GO.0000381",0.274452487135424,0.0468332051128959
"64","GO.0000387",0.311332605629499,0.0561861810920877
"65","GO.0000395",0.306199132137172,0.0491374416171464
"66","GO.0000398",0.330195186690832,0.0485329253537156
"67","GO.0000400",0.328031931265331,0.052209773238274
"68","GO.0000407",0.315251909009507,0.0493333892710264
"69","GO.0000413",0.294660646777863,0.0510120560260623
"70","GO.0000422",0.307413164334166,0.0451302274190364
"71","GO.0000439",0.3130687390617,0.050617959455401
"72","GO.0000445",0.314992837483982,0.0490689904767955
"73","GO.0000447",0.302479639490122,0.0498672008282594
"74","GO.0000460",0.279630597589399,0.0515336857588319
"75","GO.0000462",0.312346418778688,0.0480192844621155
"76","GO.0000463",0.298953046542726,0.0503048871549269
"77","GO.0000467",0.324686081584469,0.0453897997140932
"78","GO.0000470",0.285470257423249,0.0496584058547498
"79","GO.0000472",0.312110821566041,0.0497124437579912
"80","GO.0000480",0.308761928286332,0.0501772372482266
"81","GO.0000492",0.310343470490244,0.051873120919463
"82","GO.0000502",0.315446305837187,0.048393164517583
"83","GO.0000712",0.298915224210671,0.0494385407662729
"84","GO.0000723",0.288207165600883,0.0516190076146678
"85","GO.0000724",0.311792480094242,0.0482324977206493
"86","GO.0000727",0.301602657721174,0.0504226580487964
"87","GO.0000774",0.284406282825537,0.0500569988249737
"88","GO.0000775",0.260229687792239,0.0516080148551682
"89","GO.0000776",0.250674651054936,0.0507881013684897
"90","GO.0000779",0.31134641226544,0.0492019624814462
"91","GO.0000781",0.287317915030702,0.0446360268507831
"92","GO.0000785",0.27249622713089,0.0467670927739941
"93","GO.0000786",0.297417033664625,0.0501218813159377
"94","GO.0000791",0.28676327172246,0.0491615866926284
"95","GO.0000792",0.265022275540277,0.0491732150937381
"96","GO.0000793",0.295273185900998,0.0525227310748766
"97","GO.0000794",0.298589721390171,0.0504647070315394
"98","GO.0000795",0.301756443797489,0.0513708659148798
"99","GO.0000796",0.305466132894063,0.0499105123447796
"100","GO.0000812",0.317820404327532,0.0511639131638984
"101","GO.0000813",0.311206770243233,0.0487620946589406
"102","GO.0000815",0.307299966920135,0.0501887120258005
"103","GO.0000900",0.284040978142199,0.0526085447730099
"104","GO.0000902",0.283427864152822,0.0527762882953014
"105","GO.0000915",0.303556966156248,0.0464870105027589
"106","GO.0000916",0.306857959475481,0.051574015254977
"107","GO.0000922",0.29460566859779,0.0483098792168106
"108","GO.0000923",0.308188986546638,0.0503075418685227
"109","GO.0000930",0.301588368200732,0.0484356997227215
"110","GO.0000931",0.313491074766289,0.0477809151300711
"111","GO.0000932",0.286012422534952,0.0482775905607095
"112","GO.0000938",0.314314600813438,0.048347716838615
"113","GO.0000940",0.312297961533064,0.0474277799735832
"114","GO.0000956",0.314354561030202,0.0480556601758319
"115","GO.0000963",0.316340841997049,0.0495437885135983
"116","GO.0000974",0.335178279133809,0.0447879898228008
"117","GO.0000976",0.297309157203404,0.0475122653268313
"118","GO.0000977",0.302307311515357,0.0490010027939163
"119","GO.0000978",0.321424152164494,0.0463737272383263
"120","GO.0000981",0.303040905966002,0.0487330224936354
"121","GO.0000987",0.30097114842968,0.0534546283947436
"122","GO.0000993",0.296890885463714,0.0491374405818308
"123","GO.0001006",0.332612715785161,0.0485298075460572
"124","GO.0001046",0.307850235915904,0.047778945766253
"125","GO.0001054",0.318673400404501,0.0510036004882389
"126","GO.0001055",0.317597492369964,0.050056470378007
"127","GO.0001056",0.312164051934869,0.0505534342141633
"128","GO.0001111",0.3171749061462,0.0511442229418497
"129","GO.0001113",0.319372349650498,0.0504484026301778
"130","GO.0001178",0.284041222524819,0.0529825759804339
"131","GO.0001222",0.315105171932766,0.0478777957822475
"132","GO.0001223",0.289464739500838,0.0507923722129525
"133","GO.0001227",0.300121438765697,0.0504065718271915
"134","GO.0001228",0.311601100635606,0.0526595073256314
"135","GO.0001510",0.291597248118938,0.0496923134896643
"136","GO.0001522",0.294386734029673,0.0529323117900832
"137","GO.0001530",0.313520146428923,0.0504399051704619
"138","GO.0001558",0.289470462775958,0.0512153605242485
"139","GO.0001578",0.301575183439235,0.0498972335111867
"140","GO.0001653",0.278473322375261,0.0407049875792479
"141","GO.0001654",0.291556124268712,0.0499400602741046
"142","GO.0001664",0.282127327890105,0.0514695305161706
"143","GO.0001666",0.257284102592317,0.0537099298572384
"144","GO.0001671",0.276997822981596,0.0550237209631477
"145","GO.0001673",0.31975217955046,0.051873283120155
"146","GO.0001676",0.30493125282058,0.0470509431362275
"147","GO.0001700",0.337004449670073,0.0422991274136779
"148","GO.0001708",0.301514059653211,0.0494508642595156
"149","GO.0001709",0.289811955503567,0.0510015979238258
"150","GO.0001710",0.327875219039906,0.0495659005456704
"151","GO.0001725",0.305645675400031,0.0496528099850095
"152","GO.0001726",0.321211730791195,0.0509907999023841
"153","GO.0001731",0.294729372636597,0.0504615208332496
"154","GO.0001736",0.282340699458368,0.0553866645753872
"155","GO.0001737",0.29097534886955,0.0516502786632027
"156","GO.0001738",0.288179888083106,0.04708158389412
"157","GO.0001742",0.350662206641194,0.0532729306104868
"158","GO.0001745",0.281614764569677,0.0481107016401475
"159","GO.0001746",0.321369205117647,0.0490508308566437
"160","GO.0001751",0.294801714605659,0.0495871786001207
"161","GO.0001752",0.323917451107397,0.0524758799269381
"162","GO.0001754",0.328112951433767,0.0553682210808808
"163","GO.0001764",0.298285571214741,0.0504376658238959
"164","GO.0001784",0.333011750466266,0.0506214292332766
"165","GO.0001786",0.324922975269095,0.0474320865298173
"166","GO.0001881",0.317488357382201,0.0490029296475993
"167","GO.0001932",0.311209883460753,0.0497680682117875
"168","GO.0001933",0.30428814852111,0.0457166144762543
"169","GO.0001934",0.284490311975867,0.0494771109779774
"170","GO.0001965",0.314066774980962,0.0494109719533255
"171","GO.0002009",0.309046857788216,0.0485643804237479
"172","GO.0002027",0.34332183727944,0.0515249068384693
"173","GO.0002028",0.308324473941438,0.0503250379051618
"174","GO.0002039",0.321775326505886,0.0448592871552796
"175","GO.0002052",0.330586993516668,0.0544395049670768
"176","GO.0002092",0.337821020670388,0.0510099511874103
"177","GO.0002098",0.291269304274235,0.0505414091474885
"178","GO.0002118",0.293357875996092,0.0498403030522954
"179","GO.0002121",0.302985163041778,0.050012607572143
"180","GO.0002161",0.302438638608661,0.0476732825689384
"181","GO.0002164",0.30026164939103,0.0505010255690295
"182","GO.0002165",0.305220777433168,0.0503778937340335
"183","GO.0002168",0.288119308428462,0.0490708882549766
"184","GO.0002181",0.301643579817014,0.0463557330471102
"185","GO.0002213",0.323592879318013,0.0513701296279606
"186","GO.0002225",0.27814100201627,0.0456772858866618
"187","GO.0002230",0.285255797444762,0.0541927500564031
"188","GO.0002347",0.318496502318208,0.0502277095992567
"189","GO.0002385",0.347748841282176,0.0479031232144015
"190","GO.0002785",0.325668347947104,0.0540758259587739
"191","GO.0002804",0.31674511052861,0.047237004704416
"192","GO.0002807",0.298284709338366,0.0507176955667911
"193","GO.0002814",0.31472874182461,0.0511170815297831
"194","GO.0003007",0.279092552200226,0.0491811971852346
"195","GO.0003012",0.34379001702329,0.0502473970291794
"196","GO.0003014",0.327852642855203,0.0463162314550683
"197","GO.0003015",0.31579693746026,0.0480345358024424
"198","GO.0003333",0.353792710023397,0.0475427207844066
"199","GO.0003341",0.309308240022889,0.0511554565406895
"200","GO.0003382",0.311857183616505,0.0512559059600137
"201","GO.0003383",0.273540444220472,0.0421189328574912
"202","GO.0003384",0.297796544631253,0.0497297769144533
"203","GO.0003674",0.274181027711249,0.0507979748742859
"204","GO.0003676",0.326273165799559,0.0497242029450577
