"","Term","Accuracy","SE"
"1","GO.0000014",0.43865225884516,0.0330116652862754
"2","GO.0000022",0.419504973022994,0.0289816963343706
"3","GO.0000027",0.453364208656976,0.0397754904510816
"4","GO.0000028",0.443387349455251,0.0346181237033216
"5","GO.0000030",0.442984982126302,0.0344881111993046
"6","GO.0000045",0.403721176368929,0.0316688222485692
"7","GO.0000049",0.387409982630062,0.0382312183206273
"8","GO.0000062",0.423063837788858,0.0349462819235443
"9","GO.0000070",0.445545166300952,0.0301945543869142
"10","GO.0000076",0.440182508809571,0.0333862201633934
"11","GO.0000077",0.425138667166187,0.0351032364312261
"12","GO.0000082",0.43663407688261,0.0337783322861537
"13","GO.0000086",0.427080475312022,0.0398404894410583
"14","GO.0000118",0.428513347403128,0.0322082252206264
"15","GO.0000122",0.395348760954352,0.0380346107963331
"16","GO.0000123",0.446013639011811,0.0336019673554502
"17","GO.0000124",0.442699349055573,0.0316345903860226
"18","GO.0000132",0.431643569612913,0.0325363423817558
"19","GO.0000137",0.435526455507311,0.0333633417341788
"20","GO.0000138",0.456842838617573,0.0314107296238392
"21","GO.0000139",0.423189758761409,0.0418998944532635
"22","GO.0000145",0.444378243477024,0.0340307034073239
"23","GO.0000146",0.45161367794455,0.0335364805980689
"24","GO.0000149",0.447724016032162,0.0361296054587376
"25","GO.0000151",0.400990196959322,0.0364492295660388
"26","GO.0000159",0.435239472805252,0.0389066886608849
"27","GO.0000164",0.447832372157472,0.0294944649145942
"28","GO.0000165",0.483567314046178,0.0339155488098947
"29","GO.0000166",0.389066192691028,0.0315302578094183
"30","GO.0000172",0.445982495527821,0.0336288795217072
"31","GO.0000175",0.434084579760189,0.0311763891481042
"32","GO.0000176",0.449262016578745,0.0336135079969464
"33","GO.0000178",0.449852835842725,0.0341773419222559
"34","GO.0000184",0.438551318677786,0.0366161291170666
"35","GO.0000209",0.410144604268041,0.0271830985899197
"36","GO.0000212",0.432465190684029,0.0322074961345761
"37","GO.0000220",0.449451354567493,0.0355097303545962
"38","GO.0000221",0.446062760326718,0.0342614912971996
"39","GO.0000226",0.383972440234427,0.0342091320247081
"40","GO.0000228",0.428217909781079,0.0412745561306234
"41","GO.0000242",0.431221698664341,0.0352979859239655
"42","GO.0000243",0.449294204357627,0.0336698534287398
"43","GO.0000244",0.440558739175346,0.0342682346616536
"44","GO.0000245",0.442837293437584,0.0335578981711633
"45","GO.0000253",0.44779774040093,0.034343139891218
"46","GO.0000266",0.441878626272613,0.0320602018968263
"47","GO.0000276",0.445556896448841,0.0360508962843909
"48","GO.0000278",0.370813676096877,0.0291333511563032
"49","GO.0000281",0.441641444387851,0.032101145714057
"50","GO.0000287",0.406350913330052,0.0349072108696482
"51","GO.0000288",0.44106725744347,0.0322733436465495
"52","GO.0000289",0.441100633028538,0.0346153442435136
"53","GO.0000302",0.442881456920502,0.0373800189879604
"54","GO.0000307",0.457090852763449,0.0308993896762832
"55","GO.0000338",0.430222676990737,0.0361646380694838
"56","GO.0000339",0.437011038765604,0.0335821147819326
"57","GO.0000340",0.43456183277989,0.0343374015598893
"58","GO.0000346",0.443378016279971,0.035392765354752
"59","GO.0000381",0.440308639413171,0.0329278653112533
"60","GO.0000387",0.443237550809069,0.0346191081981423
"61","GO.0000395",0.443955744267755,0.0348193836142707
"62","GO.0000398",0.399386818297858,0.0389470526513902
"63","GO.0000407",0.42532004478098,0.0341997898411397
"64","GO.0000413",0.44580823128527,0.0324139174431649
"65","GO.0000421",0.438634791873285,0.0337654182173208
"66","GO.0000422",0.403682937174522,0.0338100306427963
"67","GO.0000439",0.440637388181538,0.0333843711846705
