"","Term","Accuracy","SE"
"1","GO.0000002",0.326629113955506,0.0507920719402339
"2","GO.0000014",0.319272365488598,0.0530278884383909
"3","GO.0000022",0.320717320576546,0.0496798252809603
"4","GO.0000027",0.311427806265882,0.0492922865449311
"5","GO.0000028",0.311696484711998,0.0505328490660262
"6","GO.0000030",0.322042964665873,0.0524434365986723
"7","GO.0000045",0.294205492878456,0.0463288061452321
"8","GO.0000049",0.316565657686636,0.0512298048756988
"9","GO.0000055",0.359309332336053,0.0501519947516667
"10","GO.0000062",0.315082302720927,0.0512257206298883
"11","GO.0000070",0.314658433521536,0.0498723493739722
"12","GO.0000076",0.319020117219404,0.0519857583680442
"13","GO.0000077",0.294540674094892,0.0541031810099101
"14","GO.0000082",0.317348274620314,0.0503997718475222
"15","GO.0000086",0.309080746526605,0.0496526038584142
"16","GO.0000118",0.32424868596224,0.0457528448946029
"17","GO.0000122",0.303697513600694,0.0450843583661881
"18","GO.0000123",0.317107738798938,0.0521636597472393
"19","GO.0000124",0.30529780819813,0.0538455073750045
"20","GO.0000132",0.302726896514633,0.0508960448819327
"21","GO.0000137",0.327442469603209,0.0495102290869775
"22","GO.0000138",0.320315165046836,0.0507947723851104
"23","GO.0000139",0.327611545193073,0.0481469792813056
"24","GO.0000145",0.32932987207266,0.0530705385844799
"25","GO.0000146",0.335537090405866,0.0529923686979112
"26","GO.0000149",0.318371366144204,0.0490220277121118
"27","GO.0000151",0.298129648496924,0.0515102941692065
"28","GO.0000159",0.319816147955983,0.0510525363699464
"29","GO.0000164",0.360503166009163,0.0439877942744023
"30","GO.0000165",0.330264896487979,0.0478296585067798
"31","GO.0000166",0.296079439286235,0.0483298102016625
"32","GO.0000172",0.315923743562103,0.0501592155882623
"33","GO.0000175",0.361150550480886,0.0470161724326129
"34","GO.0000176",0.329456447667006,0.0496768287251954
"35","GO.0000177",0.33881959351742,0.0494330962135512
"36","GO.0000178",0.323000259393467,0.0495346288140406
"37","GO.0000184",0.34710254347522,0.050569378301793
"38","GO.0000209",0.284475885209229,0.0481718302855617
"39","GO.0000212",0.316745639647357,0.0504243979256584
"40","GO.0000220",0.337266924724601,0.0506302696647406
"41","GO.0000226",0.296587744607519,0.0495785636096385
"42","GO.0000228",0.325845424557499,0.0532376638274395
"43","GO.0000242",0.322258558556112,0.0510828288097752
"44","GO.0000244",0.325151508824902,0.0493586540146912
"45","GO.0000245",0.344246821044989,0.0502184023590287
"46","GO.0000253",0.331131270115208,0.0469404535014287
"47","GO.0000266",0.325073774130982,0.0487941711428813
"48","GO.0000276",0.323292799039385,0.0499798477582689
"49","GO.0000278",0.274103866545847,0.0477504241807275
"50","GO.0000281",0.383857138911542,0.044001717783566
"51","GO.0000287",0.293660411326282,0.0473568470495587
"52","GO.0000288",0.325126618727201,0.0504790303929118
"53","GO.0000289",0.314014474680451,0.0485382150236252
"54","GO.0000290",0.328945621212404,0.0503739005489366
"55","GO.0000302",0.304900206141451,0.0482117914617162
"56","GO.0000307",0.320844202536828,0.0520626178605778
"57","GO.0000338",0.312135069984169,0.0499199845518158
"58","GO.0000339",0.325609816652884,0.0503165606075849
"59","GO.0000340",0.323948358705614,0.0519023026694747
"60","GO.0000346",0.331157948104092,0.0493826259243094
"61","GO.0000347",0.323121412614542,0.0508652818336941
"62","GO.0000348",0.341414432180339,0.0508345853392245
"63","GO.0000381",0.307663737388463,0.0490812607863361
"64","GO.0000387",0.312336533634383,0.0527476246079728
"65","GO.0000395",0.329312106398231,0.0497466866273656
"66","GO.0000398",0.339615559296805,0.0493512899401103
"67","GO.0000400",0.320864095566834,0.0508895063160648
"68","GO.0000407",0.31496232419871,0.049048508845858
"69","GO.0000413",0.329085471363238,0.0521182195656851
"70","GO.0000422",0.32183394072791,0.0481028809914229
"71","GO.0000439",0.315784568917007,0.0518443066844268
"72","GO.0000445",0.325988269151929,0.0498937938902736
"73","GO.0000447",0.319370640046954,0.0502999839103465
"74","GO.0000460",0.291020684140231,0.0519308634480831
"75","GO.0000462",0.304075781943454,0.0492115118590187
"76","GO.0000463",0.314309461715674,0.0507412812779464
"77","GO.0000467",0.327940299214854,0.0484033631824049
"78","GO.0000470",0.305244389540036,0.049650407091911
