"","Term","Accuracy","SE"
"1","GO.0000014",0.44229734475432,0.0354696904010665
"2","GO.0000022",0.46284779919104,0.0304159522569601
"3","GO.0000027",0.454159842069947,0.0375639430069927
"4","GO.0000028",0.43440031469142,0.0339269948642165
"5","GO.0000030",0.430849211820916,0.0354894358737071
"6","GO.0000045",0.423234190784061,0.0317975056328146
"7","GO.0000049",0.423259419110179,0.0369641886545514
"8","GO.0000062",0.444948076784898,0.0354974397468357
"9","GO.0000070",0.445450879532484,0.0313565633123339
"10","GO.0000076",0.435631817638968,0.0323920394696249
"11","GO.0000077",0.428469709552637,0.0347918179049831
"12","GO.0000082",0.437526902430238,0.0342632610860274
"13","GO.0000086",0.440482914175134,0.0367912200589747
"14","GO.0000118",0.436365940373573,0.0344316072281593
"15","GO.0000122",0.391276833344431,0.0409685676203099
"16","GO.0000123",0.447819315390918,0.0334547722531363
"17","GO.0000124",0.450515604849005,0.0302109634345752
"18","GO.0000132",0.453236564497793,0.0342573795309787
"19","GO.0000137",0.453122563733478,0.0332379113853699
"20","GO.0000138",0.47069278475309,0.0327783716258864
"21","GO.0000139",0.438467053293998,0.0402835554718708
"22","GO.0000145",0.443927823672671,0.033937748344823
"23","GO.0000146",0.4560019771655,0.0335819081796815
"24","GO.0000149",0.45146902040087,0.0341156292768647
"25","GO.0000151",0.422509296207581,0.0329913131577228
"26","GO.0000159",0.447034664769934,0.036485183914154
"27","GO.0000164",0.463344064206573,0.0285820916121987
"28","GO.0000165",0.485381438516701,0.0332090097896488
"29","GO.0000166",0.405783916079716,0.0317827850214022
"30","GO.0000172",0.451829992919497,0.0319537601927454
"31","GO.0000175",0.45587295469301,0.0316249372100726
"32","GO.0000176",0.448514014920986,0.0335377945695958
"33","GO.0000178",0.451199789959971,0.0333301222418804
"34","GO.0000184",0.432668914654981,0.0375751004074927
"35","GO.0000209",0.431288915152475,0.0282065228407091
"36","GO.0000212",0.43851381973981,0.0317197676545532
"37","GO.0000220",0.445281588873587,0.0340048249789247
"38","GO.0000221",0.452943547780404,0.0335709980074601
"39","GO.0000226",0.398281094737784,0.0340021524867173
"40","GO.0000228",0.449512878663066,0.0372339562370053
"41","GO.0000242",0.437996695092669,0.0330021138744525
"42","GO.0000243",0.454140042402084,0.0337877086615132
"43","GO.0000244",0.448800939849542,0.0329456894711974
"44","GO.0000245",0.452892039730009,0.0324773294274191
"45","GO.0000253",0.456632954691561,0.0327342113559815
"46","GO.0000266",0.452957750117824,0.0323217038663583
"47","GO.0000276",0.46380922401946,0.0348298430649532
"48","GO.0000278",0.389272736982832,0.0305482614716306
"49","GO.0000281",0.446845520517322,0.0336916613649248
"50","GO.0000287",0.420433139401959,0.0338348099841706
"51","GO.0000288",0.45218083858294,0.0324696448892117
"52","GO.0000289",0.448022039963307,0.0332796017516784
"53","GO.0000302",0.464293787521225,0.0351399687244931
"54","GO.0000307",0.47055050348826,0.0332571921957218
"55","GO.0000338",0.438641302883791,0.0351406895843551
"56","GO.0000339",0.443362964830845,0.0342436017271474
"57","GO.0000340",0.446553625827431,0.0337541661166556
"58","GO.0000346",0.441088544984891,0.0351497050986708
"59","GO.0000381",0.419775570703994,0.0314243764833573
"60","GO.0000387",0.447877251900569,0.0346331005852889
"61","GO.0000395",0.443828972422645,0.0339024103135298
"62","GO.0000398",0.391888315727421,0.0406733974999173
"63","GO.0000407",0.442957041485041,0.0333222822465741
"64","GO.0000413",0.449907946582132,0.0322246311506179
"65","GO.0000421",0.453167121451162,0.0331820399905712
"66","GO.0000422",0.423961829319963,0.0329356823970908
"67","GO.0000439",0.43611977067898,0.0328669287864872
"68","GO.0000447",0.431272975841697,0.0358287465169538
"69","GO.0000460",0.441705659225559,0.032711306601715
"70","GO.0000462",0.432034742650119,0.0345094298158343
"71","GO.0000463",0.417017560883477,0.0387664782671178
"72","GO.0000470",0.445676311275328,0.0336979478924371
"73","GO.0000502",0.42713317195113,0.0334894943433881
"74","GO.0000712",0.469985837858521,0.0313889993180648
"75","GO.0000723",0.436490386689265,0.0356809979836422
"76","GO.0000724",0.483306881074658,0.0281661966581049
"77","GO.0000727",0.446377980553231,0.0351844286323852
"78","GO.0000774",0.465442168629491,0.0340373806099703
"79","GO.0000775",0.471846162873384,0.0301592539750114
"80","GO.0000776",0.423229530298459,0.0356926243239997
"81","GO.0000779",0.45385273373885,0.0314822895140997
"82","GO.0000781",0.458203855755014,0.0348224644748972
"83","GO.0000785",0.4465734240312,0.0307902361780488
"84","GO.0000786",0.465425838539829,0.0317251097767499
"85","GO.0000791",0.427142769195977,0.0391364915404257
"86","GO.0000792",0.450960734556599,0.03365968007524
"87","GO.0000793",0.471854559260094,0.0303576402901619
"88","GO.0000794",0.447063629635148,0.0324307537372373
"89","GO.0000796",0.450340929417643,0.032342630649123
"90","GO.0000813",0.45288258693909,0.0338244679984295
"91","GO.0000815",0.450844742426839,0.0358573768843816
"92","GO.0000900",0.429374433727031,0.035720565688231
"93","GO.0000902",0.461022493324911,0.0392281889742053
"94","GO.0000915",0.450310944139112,0.035462629185865
"95","GO.0000916",0.440841395182945,0.0336127770028509
"96","GO.0000922",0.432591589743078,0.0313685212377422
"97","GO.0000923",0.446610594966411,0.0329441323328968
"98","GO.0000930",0.445419389413548,0.0315737893675287
"99","GO.0000931",0.454670937471373,0.0311386161568836
"100","GO.0000932",0.42674357516187,0.0349190207768978
"101","GO.0000940",0.446238194212406,0.0318729563983394
"102","GO.0000956",0.449898242259316,0.0340430601933795
"103","GO.0000974",0.480851180961203,0.0339410543353581
"104","GO.0000976",0.45474732985193,0.0317278227249737
"105","GO.0000977",0.400885862262573,0.0323577197967001
"106","GO.0000978",0.391366553541969,0.0392860181255257
"107","GO.0000981",0.38177673123467,0.0393410768639417
"108","GO.0000987",0.429617473621074,0.0354988492479306
"109","GO.0000993",0.422665921586175,0.0346700736570712
"110","GO.0001046",0.454246670939611,0.0330859898079634
"111","GO.0001054",0.447420779825422,0.0336753769181607
"112","GO.0001055",0.448663536735547,0.0329178813900128
"113","GO.0001056",0.447781303946202,0.0354107952418605
"114","GO.0001111",0.441666101851588,0.0318844760716061
"115","GO.0001113",0.437106590050501,0.0331915682097805
"116","GO.0001178",0.437343853489553,0.0331662499792768
"117","GO.0001222",0.446861213606561,0.0326755066884245
"118","GO.0001223",0.430168802252602,0.0351182871799293
"119","GO.0001227",0.430447219406582,0.0336339287088715
"120","GO.0001228",0.400210164526678,0.0355516919434402
"121","GO.0001405",0.444799927313788,0.0343448062886279
"122","GO.0001510",0.420422401658901,0.035749537895374
"123","GO.0001522",0.469687902439542,0.0337151356939344
"124","GO.0001530",0.443619203526604,0.0347868307573377
"125","GO.0001558",0.435944101774869,0.0337753768836211
"126","GO.0001578",0.430309044894069,0.0349209427073619
"127","GO.0001653",0.446414039035878,0.0349401733307122
"128","GO.0001654",0.433751518101874,0.033098979176193
"129","GO.0001664",0.429694609824421,0.0377622406172455
"130","GO.0001666",0.447672431938301,0.033415390631006
"131","GO.0001671",0.447583434585673,0.0331292362359009
"132","GO.0001673",0.42862032931701,0.0358589662509196
"133","GO.0001676",0.439788600063607,0.036714400150358
"134","GO.0001682",0.450326501184889,0.0317283150290873
"135","GO.0001700",0.43665387864571,0.0334909210323536
"136","GO.0001708",0.424428099197362,0.0330204538394495
"137","GO.0001709",0.434276810573027,0.0348522943423368
"138","GO.0001710",0.455808011046473,0.0326259909696761
"139","GO.0001725",0.450302318436227,0.0338138073708305
"140","GO.0001726",0.4421075998655,0.0353180063929583
