"","Method","Accuracy","SE"
"1","pcr","0.176976169540304","0.0502707567357991"
"2","pls","0.165323253809989","0.0573870859307537"
"3","rr","0.314342920308552","0.0499867849046741"
"4","lasso","0.439244483095124","0.0323667673537422"
"5","bayesC","0.324236438747352","0.0501630885373762"
"6","varbvs","0.503361547076206","0.030590321636656"
"7","mrash","0.475376392330737","0.028980602543185"
"8","tblup","0.328703583409796","0.0513802591232883"
"9","rf","0.402881634453607","0.0437669322159884"
"10","nn","0.06436104084642","0.0505994908136353"
