"","Method","Accuracy","SE"
"1","pcr","0.430029255887225","0.0386048488260049"
"2","pls","0.442475589312982","0.0341813090579786"
"3","rr","0.455014110739049","0.0343964684914135"
"4","lasso","0.354379352033187","0.0371115089278"
"5","bayesC","0.448226150536863","0.0333412213087913"
"6","varbvs","0.366393063246101","0.0378210595367366"
"7","mrash","0.326986852478009","0.0482477721056886"
"8","tblup","0.455350935120329","0.0345639351422973"
"9","rf","0.403826819861454","0.0377872482122826"
"10","nn","0.142553925398029","0.0785733936875541"
