"","line","fStarve","mStarve","diffStarve"
"1","line_100",77.92,49.28,28.64
"2","line_101",57.76,47.2,10.56
"3","line_105",73.12,51.04,22.08
"4","line_109",53.44,44.96,8.48
"5","line_129",42.7755102040816,33.0847457627119,9.6907644413697
"6","line_136",104.32,63.04,41.28
"7","line_138",59.52,47.8367346938776,11.6832653061224
"8","line_142",59.265306122449,38.4,20.865306122449
"9","line_149",47,35.84,11.16
"10","line_153",59.04,40.32,18.72
"11","line_158",77.0612244897959,51,26.0612244897959
"12","line_161",53.76,42.4489795918367,11.3110204081633
"13","line_176",54.2040816326531,40.6153846153846,13.5886970172685
"14","line_177",53.7142857142857,33.44,20.2742857142857
"15","line_181",56.96,48.64,8.32
"16","line_189",57.6,59.2,-1.6
"17","line_195",65.6,49.44,16.16
"18","line_208",53.6,49.3333333333333,4.2666666666667
"19","line_21",74.72,36.7719298245614,37.9480701754386
"20","line_217",106.56,60.32,46.24
"21","line_223",68.1666666666667,45.0434782608696,23.1231884057971
"22","line_227",52.16,39.36,12.8
"23","line_228",65.9591836734694,46.88,19.0791836734694
"24","line_229",39.3469387755102,33.3333333333333,6.0136054421769
"25","line_233",73.1428571428571,66.56,6.58285714285709
"26","line_235",71.3333333333333,49.9555555555556,21.3777777777777
"27","line_237",53.6,36.64,16.96
"28","line_239",59.2280701754386,46.08,13.1480701754386
"29","line_26",39.1111111111111,34.1052631578947,5.0058479532164
"30","line_28",50.08,43.36,6.72
"31","line_280",69.8333333333333,45.6666666666667,24.1666666666666
"32","line_287",64.6530612244898,46.72,17.9330612244898
"33","line_301",66.4,54.2022471910112,12.1977528089888
"34","line_303",54.72,48.32,6.4
"35","line_304",68.96,59.68,9.27999999999999
"36","line_306",65.3333333333333,51.36,13.9733333333333
"37","line_307",75.7446808510638,70.2978723404255,5.44680851063831
"38","line_309",62.2040816326531,48.64,13.5640816326531
"39","line_31",72.1194029850746,72,0.119402985074601
"40","line_310",55.1724137931034,41.3333333333333,13.8390804597701
"41","line_313",72.8163265306122,39.8333333333333,32.9829931972789
"42","line_315",51.84,54.0408163265306,-2.2008163265306
"43","line_317",48.64,27.6666666666667,20.9733333333333
"44","line_318",59.7446808510638,40.4897959183673,19.2548849326965
"45","line_319",64.8333333333333,54.0408163265306,10.7925170068027
"46","line_32",56.16,32.32,23.84
"47","line_320",87.52,54.3673469387755,33.1526530612245
"48","line_321",52,43.7446808510638,8.2553191489362
"49","line_324",34.4489795918367,36.6315789473684,-2.18259935553171
"50","line_325",43.68,40.8510638297872,2.8289361702128
"51","line_332",47.52,28.4081632653061,19.1118367346939
"52","line_335",69.12,49.92,19.2
"53","line_336",75.1020408163265,44.0816326530612,31.0204081632653
"54","line_338",61.28,41.6326530612245,19.6473469387755
"55","line_340",57.6326530612245,48.64,8.9926530612245
"56","line_348",50.08,40.6274509803922,9.4525490196078
"57","line_350",53,38.6938775510204,14.3061224489796
"58","line_352",45.6,36.8,8.8
"59","line_354",57.9591836734694,49.12,8.8391836734694
"60","line_355",66.24,52.48,13.76
"61","line_356",83.1020408163265,46,37.1020408163265
"62","line_357",63.68,48.8163265306122,14.8636734693878
"63","line_358",55.3469387755102,34.56,20.7869387755102
"64","line_359",51.84,40.64,11.2
"65","line_360",53.7142857142857,43.68,10.0342857142857
"66","line_361",55.84,30.72,25.12
"67","line_362",74.8070175438596,65.4358974358974,9.3711201079622
"68","line_365",50.5,45.0612244897959,5.4387755102041
"69","line_367",60.8,52.734693877551,8.06530612244899
"70","line_370",55.04,32.6666666666667,22.3733333333333
"71","line_371",57.12,43.68,13.44
"72","line_373",72.16,57.28,14.88
"73","line_374",60.48,39.1489361702128,21.3310638297872
"74","line_375",66.72,44.6666666666667,22.0533333333333
"75","line_377",64.1632653061225,52.2448979591837,11.9183673469388
"76","line_379",88.1818181818182,55.1666666666667,33.0151515151515
"77","line_38",44.7142857142857,37.8775510204082,6.8367346938775
"78","line_380",42.24,29.12,13.12
"79","line_381",42.3829787234043,35.52,6.8629787234043
"80","line_382",67.5,46.530612244898,20.969387755102
"81","line_383",58.6,39.0857142857143,19.5142857142857
"82","line_385",71.8367346938775,49.12,22.7167346938775
"83","line_386",37.7543859649123,25.4545454545455,12.2998405103668
"84","line_390",44.734693877551,37.0909090909091,7.6437847866419
"85","line_391",63.2,30.24,32.96
"86","line_392",51.52,36.32,15.2
"87","line_395",59.84,40,19.84
"88","line_397",50,39.8367346938776,10.1632653061224
"89","line_399",55.52,37.92,17.6
"90","line_40",67.3333333333333,41.6,25.7333333333333
"91","line_405",58.72,45.3877551020408,13.3322448979592
"92","line_406",59.063829787234,41.6,17.463829787234
"93","line_409",51.04,42.24,8.8
"94","line_41",77.7142857142857,55.3962264150943,22.3180592991914
"95","line_42",39.8367346938776,21.28,18.5567346938776
"96","line_426",54.5964912280702,42.1224489795918,12.4740422484784
"97","line_427",53.2525252525253,42.4,10.8525252525253
"98","line_437",64.5137614678899,45.3084112149533,19.2053502529366
"99","line_439",50.5,37.12,13.38
"100","line_440",70.3505154639175,40.3333333333333,30.0171821305842
"101","line_441",69.12,53.4831460674157,15.6368539325843
"102","line_443",58.08,49.92,8.16
"103","line_45",49.44,36.32,13.12
"104","line_461",40.48,26.6122448979592,13.8677551020408
"105","line_48",78.88,56.32,22.56
"106","line_486",68.8,45.92,22.88
"107","line_49",66.08,49.3061224489796,16.7738775510204
"108","line_491",78.4,46.72,31.68
"109","line_492",70.2666666666667,61.4492753623188,8.81739130434789
"110","line_502",42.6122448979592,30.88,11.7322448979592
"111","line_505",41.6326530612245,33.7959183673469,7.8367346938776
"112","line_508",52.96,59.04,-6.08
"113","line_513",44.64,36.48,8.16
"114","line_517",44.32,47.68,-3.36
"115","line_528",61.2244897959184,40.8163265306122,20.4081632653062
"116","line_530",71.340206185567,51.04,20.300206185567
"117","line_531",56,43.4666666666667,12.5333333333333
"118","line_535",60.8,40.3404255319149,20.4595744680851
"119","line_551",55.84,36.8,19.04
"120","line_555",50.88,41.44,9.44
"121","line_559",54.530612244898,48.6530612244898,5.87755102040821
"122","line_563",57.76,38.4,19.36
"123","line_566",59.84,44.32,15.52
"124","line_57",48.64,34.56,14.08
"125","line_584",62.08,46.88,15.2
"126","line_589",64.32,49,15.32
"127","line_59",45.0612244897959,35.52,9.54122448979589
"128","line_595",56.8163265306122,37.3333333333333,19.4829931972789
"129","line_596",70.88,47.36,23.52
"130","line_627",48.48,40.96,7.52
"131","line_630",68.0888888888889,45.2,22.8888888888889
"132","line_634",55.5102040816327,42.6666666666667,12.843537414966
"133","line_639",56.8,37.8775510204082,18.9224489795918
"134","line_642",89,55.7714285714286,33.2285714285714
"135","line_646",77.7142857142857,64.48,13.2342857142857
"136","line_69",49.6326530612245,35,14.6326530612245
"137","line_703",45.6,48,-2.4
"138","line_705",74.6666666666667,67.6666666666667,7
"139","line_707",80.4897959183673,57.6666666666667,22.8231292517006
"140","line_712",39.84,35.2,4.64
"141","line_714",74.6122448979592,44,30.6122448979592
"142","line_716",87.04,43.52,43.52
"143","line_721",63.3333333333333,49.3333333333333,14
"144","line_727",46.7058823529412,36.1411764705882,10.564705882353
"145","line_73",73.92,51.1020408163265,22.8179591836735
"146","line_730",68.734693877551,53.92,14.814693877551
"147","line_732",40,30.08,9.92
"148","line_737",66.4,45.28,21.12
"149","line_738",46.08,34.88,11.2
"150","line_748",63.68,40.96,22.72
"151","line_75",90.24,67.84,22.4
"152","line_757",54.5454545454545,40.3333333333333,14.2121212121212
"153","line_761",54.88,51.84,3.04
"154","line_765",38.08,34.6122448979592,3.4677551020408
"155","line_774",60.64,50.08,10.56
"156","line_776",79.68,57.92,21.76
"157","line_783",60,50.1224489795918,9.8775510204082
"158","line_786",64.16,45.7142857142857,18.4457142857143
"159","line_787",59.5744680851064,53.44,6.13446808510641
"160","line_790",71.6734693877551,58.4,13.2734693877551
"161","line_796",62.72,55.3191489361702,7.4008510638298
"162","line_799",72.8,60.5,12.3
"163","line_801",58.4489795918367,46.4,12.0489795918367
"164","line_802",66.24,52.8,13.44
"165","line_804",54.5671641791045,37.0149253731343,17.5522388059702
"166","line_805",55.0204081632653,47.1666666666667,7.8537414965986
"167","line_808",42.7755102040816,39.0204081632653,3.7551020408163
"168","line_810",61.3877551020408,53.0612244897959,8.3265306122449
"169","line_812",91.2,71.52,19.68
"170","line_818",69,43.04,25.96
"171","line_819",49.92,33.7959183673469,16.1240816326531
"172","line_820",64.3333333333333,47.5,16.8333333333333
"173","line_821",65.6,57.2,8.39999999999999
"174","line_822",77.7142857142857,54.530612244898,23.1836734693877
"175","line_83",55.52,56.96,-1.44
"176","line_832",65.7777777777778,55.8367346938776,9.9410430839002
"177","line_837",67.2432432432432,55.3333333333333,11.9099099099099
"178","line_843",75.4042553191489,65.12,10.2842553191489
"179","line_849",76.1739130434783,59.9183673469388,16.2555456965395
"180","line_85",43.04,47.68,-4.64
"181","line_850",45.8666666666667,40,5.8666666666667
"182","line_852",66.7755102040816,50.6666666666667,16.1088435374149
"183","line_853",56.3265306122449,51.2340425531915,5.0924880590534
"184","line_855",51.4285714285714,44.6666666666667,6.7619047619047
"185","line_857",57.469387755102,56.8163265306122,0.653061224489797
"186","line_859",64.96,47.1836734693878,17.7763265306122
"187","line_861",50.8936170212766,34.2608695652174,16.6327474560592
"188","line_879",57.3061224489796,40.8,16.5061224489796
"189","line_88",50.9387755102041,69.92,-18.9812244897959
"190","line_882",89.28,54.0408163265306,35.2391836734694
"191","line_884",50.8936170212766,41.0181818181818,9.8754352030948
"192","line_887",73.6666666666667,47.8333333333333,25.8333333333334
"193","line_890",50.2857142857143,38.08,12.2057142857143
"194","line_892",64,38.72,25.28
"195","line_894",64.16,43.36,20.8
"196","line_897",63.6734693877551,58.24,5.4334693877551
"197","line_900",50.4,41.8333333333333,8.5666666666667
"198","line_907",59.52,45.28,14.24
"199","line_908",68.64,54.530612244898,14.109387755102
"200","line_91",71.36,49.76,21.6
"201","line_911",44.0816326530612,35.68,8.4016326530612
"202","line_913",78.88,57.76,21.12
"203","line_93",57.12,34.88,22.24
